GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
1500000US300630005003,300630005003,"Block Group 3, Census Tract 5, Missoula County, Montana",483,128,30,39,34,49,10,17,67,84,6,13,0,10,0,10,17,27,14,25,102,71,68,76,0,10,29,34,54,39,41,35,11,18
1500000US300630005004,300630005004,"Block Group 4, Census Tract 5, Missoula County, Montana",862,173,139,91,64,57,31,34,127,115,68,91,0,10,81,74,37,40,36,38,56,66,122,83,48,41,26,31,0,10,14,22,13,22
1500000US300630007001,300630007001,"Block Group 1, Census Tract 7, Missoula County, Montana",355,92,20,22,41,46,30,25,32,29,31,48,37,37,18,19,0,10,19,22,58,44,10,15,42,48,0,10,8,12,0,10,9,12
1500000US300630007002,300630007002,"Block Group 2, Census Tract 7, Missoula County, Montana",443,94,58,41,50,78,42,32,25,24,13,20,11,16,56,32,0,10,42,33,36,25,18,20,28,24,12,17,10,16,0,10,42,39
1500000US300630007003,300630007003,"Block Group 3, Census Tract 7, Missoula County, Montana",529,95,70,46,11,16,30,48,65,50,57,46,37,45,21,23,17,19,0,10,74,56,60,59,26,22,7,12,0,10,44,47,10,14
1500000US300630008001,300630008001,"Block Group 1, Census Tract 8, Missoula County, Montana",865,168,91,91,119,99,18,29,220,107,94,69,16,26,99,63,13,20,0,10,30,35,49,48,16,25,43,39,57,86,0,10,0,10
1500000US300630008002,300630008002,"Block Group 2, Census Tract 8, Missoula County, Montana",519,98,0,10,0,10,39,59,44,41,33,37,51,49,0,10,13,22,65,73,42,34,47,45,104,55,31,37,44,42,0,10,6,14
1500000US300630008003,300630008003,"Block Group 3, Census Tract 8, Missoula County, Montana",758,160,115,86,0,10,110,68,121,116,0,10,156,108,45,39,0,10,19,32,33,38,44,37,61,71,42,38,12,21,0,10,0,10
1500000US300630008004,300630008004,"Block Group 4, Census Tract 8, Missoula County, Montana",716,123,124,87,66,51,53,49,39,45,33,35,20,33,104,88,47,43,30,34,25,30,93,56,32,38,50,41,0,10,0,10,0,10
1500000US300630009011,300630009011,"Block Group 1, Census Tract 9.01, Missoula County, Montana",387,118,0,10,54,82,0,10,0,10,11,17,0,10,10,16,0,10,9,15,55,84,100,89,81,58,24,29,43,42,0,10,0,10
1500000US300630009012,300630009012,"Block Group 2, Census Tract 9.01, Missoula County, Montana",529,91,0,10,31,39,0,10,29,35,17,29,70,74,15,23,31,35,26,28,37,35,53,40,60,47,58,49,0,10,13,22,89,85
1500000US300630009013,300630009013,"Block Group 3, Census Tract 9.01, Missoula County, Montana",593,116,76,66,27,31,76,88,53,51,12,19,64,75,0,10,70,77,13,21,15,24,16,26,79,60,11,18,26,32,37,35,18,31
1500000US300630009014,300630009014,"Block Group 4, Census Tract 9.01, Missoula County, Montana",492,120,16,25,27,30,77,77,14,23,25,30,25,29,54,51,0,10,0,10,29,33,47,45,91,80,15,24,59,41,13,19,0,10
1500000US300630009015,300630009015,"Block Group 5, Census Tract 9.01, Missoula County, Montana",353,109,116,126,24,23,13,22,33,39,32,36,0,10,15,23,0,10,12,21,38,37,0,10,13,21,26,40,0,10,0,10,31,36
1500000US300630009021,300630009021,"Block Group 1, Census Tract 9.02, Missoula County, Montana",971,59,21,16,39,28,42,27,41,29,28,27,35,20,46,24,31,17,24,20,124,75,154,46,132,46,57,30,30,18,33,23,134,35
1500000US300630010001,300630010001,"Block Group 1, Census Tract 10, Missoula County, Montana",774,137,114,102,44,52,75,64,32,37,34,38,43,49,94,72,36,41,13,21,133,101,117,80,13,20,26,41,0,10,0,10,0,10
1500000US300630010002,300630010002,"Block Group 2, Census Tract 10, Missoula County, Montana",513,140,59,57,39,40,0,10,52,54,29,35,0,10,14,22,42,42,74,88,45,49,37,47,98,80,24,38,0,10,0,10,0,10
1500000US300630010003,300630010003,"Block Group 3, Census Tract 10, Missoula County, Montana",647,149,119,95,0,10,40,41,27,41,32,31,138,108,50,52,36,40,14,22,13,20,58,48,97,83,23,40,0,10,0,10,0,10
1500000US300630010004,300630010004,"Block Group 4, Census Tract 10, Missoula County, Montana",513,127,57,53,79,67,149,121,0,10,29,33,30,35,87,57,0,10,14,21,37,36,19,30,0,10,0,10,0,10,12,19,0,10
1500000US300630011001,300630011001,"Block Group 1, Census Tract 11, Missoula County, Montana",455,77,92,75,30,31,11,19,18,21,43,31,32,28,38,31,0,10,19,21,34,28,23,23,27,25,27,25,7,13,54,37,0,10
1500000US300630011002,300630011002,"Block Group 2, Census Tract 11, Missoula County, Montana",580,92,59,38,56,40,53,40,9,13,18,21,48,34,20,17,24,25,74,58,83,53,34,28,85,65,7,12,10,16,0,10,0,10
1500000US300630011003,300630011003,"Block Group 3, Census Tract 11, Missoula County, Montana",570,86,30,27,62,64,90,78,0,10,15,23,9,16,20,22,44,43,92,71,78,59,31,27,59,38,29,21,0,10,0,10,11,18
1500000US300630012001,300630012001,"Block Group 1, Census Tract 12, Missoula County, Montana",293,64,13,20,0,10,9,15,0,10,55,66,15,23,27,31,0,10,0,10,44,38,26,30,62,45,14,23,0,10,10,17,18,28
1500000US300630012002,300630012002,"Block Group 2, Census Tract 12, Missoula County, Montana",473,107,42,39,67,51,35,28,21,35,33,39,66,57,17,29,42,56,16,26,35,39,24,28,55,50,0,10,20,32,0,10,0,10
1500000US300630012003,300630012003,"Block Group 3, Census Tract 12, Missoula County, Montana",420,92,32,36,0,10,31,43,0,10,13,21,14,23,55,48,10,16,59,55,16,25,78,61,50,43,21,33,23,27,18,28,0,10
1500000US300630012004,300630012004,"Block Group 4, Census Tract 12, Missoula County, Montana",1013,142,96,75,153,120,135,90,25,30,13,20,75,78,15,25,31,45,33,38,107,59,10,16,225,116,20,35,35,45,25,38,15,28
1500000US300630013021,300630013021,"Block Group 1, Census Tract 13.02, Missoula County, Montana",958,132,69,102,59,53,93,68,19,30,48,59,29,32,86,90,87,61,33,39,66,59,65,50,111,55,89,68,0,10,61,46,43,39
1500000US300630013022,300630013022,"Block Group 2, Census Tract 13.02, Missoula County, Montana",520,103,23,35,0,10,38,46,45,49,0,10,11,18,21,34,15,24,17,28,15,26,90,59,68,55,56,38,14,24,36,40,71,89
1500000US300630013023,300630013023,"Block Group 3, Census Tract 13.02, Missoula County, Montana",352,76,0,10,20,31,0,10,0,10,0,10,15,23,0,10,0,10,15,24,58,38,82,48,31,34,13,20,15,23,76,48,27,32
1500000US300630013024,300630013024,"Block Group 4, Census Tract 13.02, Missoula County, Montana",410,103,25,39,0,10,28,42,0,10,30,34,0,10,0,10,10,17,43,40,14,24,69,51,102,61,16,26,18,28,55,83,0,10
1500000US300630013025,300630013025,"Block Group 5, Census Tract 13.02, Missoula County, Montana",364,90,0,10,0,10,83,68,18,28,0,10,0,10,0,10,0,10,0,10,13,20,54,42,105,93,77,58,14,22,0,10,0,10
1500000US300630013031,300630013031,"Block Group 1, Census Tract 13.03, Missoula County, Montana",618,119,110,102,8,14,48,45,22,25,30,33,0,10,27,29,22,26,72,61,42,38,47,48,129,73,35,41,12,21,14,21,0,10
1500000US300630013032,300630013032,"Block Group 2, Census Tract 13.03, Missoula County, Montana",570,85,0,10,56,62,11,18,7,13,17,26,37,43,40,37,26,30,28,35,72,54,46,43,59,62,74,68,16,26,49,52,32,37
1500000US300630013033,300630013033,"Block Group 3, Census Tract 13.03, Missoula County, Montana",444,107,42,39,16,25,24,31,17,27,18,31,95,69,0,10,39,64,15,26,15,23,22,27,53,40,29,34,34,28,25,40,0,10
1500000US300630013034,300630013034,"Block Group 4, Census Tract 13.03, Missoula County, Montana",522,120,69,48,0,10,29,27,101,88,45,58,39,30,0,10,12,19,0,10,58,86,81,66,67,46,21,31,0,10,0,10,0,10
1500000US300630013041,300630013041,"Block Group 1, Census Tract 13.04, Missoula County, Montana",451,91,21,35,0,10,18,28,0,10,20,32,28,34,34,30,20,33,38,42,47,42,118,80,14,24,18,22,49,46,1,9,25,28
1500000US300630013042,300630013042,"Block Group 2, Census Tract 13.04, Missoula County, Montana",504,98,0,10,0,10,0,10,8,13,51,48,21,33,16,25,0,10,0,10,65,52,11,16,128,60,30,34,66,42,94,77,14,22
1500000US300630013043,300630013043,"Block Group 3, Census Tract 13.04, Missoula County, Montana",498,98,0,10,31,26,34,38,20,32,36,50,0,10,0,10,23,35,0,10,99,87,68,53,70,58,42,42,50,39,12,21,13,22
1500000US300630013044,300630013044,"Block Group 4, Census Tract 13.04, Missoula County, Montana",1154,128,0,10,74,64,28,31,63,58,78,71,154,109,38,41,0,10,20,28,91,69,71,57,209,91,121,86,70,52,52,40,85,57
1500000US300630014001,300630014001,"Block Group 1, Census Tract 14, Missoula County, Montana",759,104,23,16,132,83,28,29,69,75,27,19,35,31,25,24,8,10,29,29,66,40,76,39,104,59,27,26,37,27,45,29,28,31
1500000US300630014002,300630014002,"Block Group 2, Census Tract 14, Missoula County, Montana",759,86,29,34,40,34,59,36,12,12,22,16,67,50,59,43,29,17,25,16,53,31,88,41,120,44,76,30,65,41,11,13,4,6
1500000US300630014003,300630014003,"Block Group 3, Census Tract 14, Missoula County, Montana",595,80,19,19,29,29,9,13,20,23,36,25,4,6,36,29,88,44,8,13,47,47,66,38,33,29,36,29,16,21,59,41,89,52
1500000US300630014004,300630014004,"Block Group 4, Census Tract 14, Missoula County, Montana",344,68,25,32,11,9,19,16,31,28,16,14,18,14,41,36,52,40,18,28,32,29,50,31,10,11,5,8,16,27,0,10,0,10
1500000US300630014005,300630014005,"Block Group 5, Census Tract 14, Missoula County, Montana",373,76,19,26,24,27,55,39,37,37,24,18,26,19,16,14,23,19,15,14,36,29,45,34,41,29,7,10,5,9,0,10,0,10
1500000US300630015001,300630015001,"Block Group 1, Census Tract 15, Missoula County, Montana",371,71,6,6,4,6,6,10,22,29,16,22,2,5,9,10,22,16,13,17,62,43,14,11,90,58,47,43,30,31,24,28,4,5
1500000US300630015002,300630015002,"Block Group 2, Census Tract 15, Missoula County, Montana",695,104,6,11,35,57,11,18,30,34,0,10,82,59,37,37,0,10,21,32,83,57,23,33,104,62,112,86,70,39,51,49,30,35
1500000US300630015003,300630015003,"Block Group 3, Census Tract 15, Missoula County, Montana",758,141,0,10,36,44,0,10,96,74,0,10,30,34,14,22,62,80,53,47,117,88,133,92,63,42,116,65,18,27,0,10,20,32
1500000US300630015004,300630015004,"Block Group 4, Census Tract 15, Missoula County, Montana",576,122,0,10,69,70,0,10,0,10,0,10,128,93,0,10,108,91,15,24,47,41,81,55,83,53,20,28,12,20,13,19,0,10
1500000US300630016001,300630016001,"Block Group 1, Census Tract 16, Missoula County, Montana",993,168,80,102,34,39,55,50,39,42,107,94,55,44,47,51,34,35,34,38,0,10,102,69,75,54,144,91,88,79,71,66,28,32
1500000US300630016002,300630016002,"Block Group 2, Census Tract 16, Missoula County, Montana",524,143,17,27,14,21,32,37,17,27,64,83,0,10,44,72,128,113,33,38,45,43,81,86,33,38,16,26,0,10,0,10,0,10
1500000US300630016003,300630016003,"Block Group 3, Census Tract 16, Missoula County, Montana",700,148,16,26,0,10,41,60,27,31,31,35,18,25,14,23,66,88,29,34,62,49,38,62,61,44,93,98,73,64,66,50,65,55
1500000US300630016004,300630016004,"Block Group 4, Census Tract 16, Missoula County, Montana",504,109,18,25,20,26,0,10,0,10,32,32,15,21,16,26,22,29,13,22,124,77,50,43,56,49,55,69,16,25,30,48,37,39
1500000US300630018001,300630018001,"Block Group 1, Census Tract 18, Missoula County, Montana",559,73,26,12,25,14,46,27,42,31,42,22,33,24,21,14,29,24,30,22,43,24,55,26,98,46,18,12,28,19,18,12,5,6
1500000US300630018002,300630018002,"Block Group 2, Census Tract 18, Missoula County, Montana",398,67,27,16,44,35,8,8,18,14,22,15,46,28,2,3,31,19,15,15,15,11,21,14,50,34,29,21,25,26,16,12,29,23
1500000US300630018003,300630018003,"Block Group 3, Census Tract 18, Missoula County, Montana",390,72,45,27,31,28,39,29,12,14,21,12,7,9,20,20,15,14,20,13,67,63,25,16,45,23,19,16,9,11,5,8,10,10
1500000US300630018004,300630018004,"Block Group 4, Census Tract 18, Missoula County, Montana",561,114,59,47,39,32,33,22,22,25,44,38,29,25,40,35,49,32,35,33,86,58,47,42,47,40,31,21,0,10,0,10,0,10
