GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; In labor force:,Margin of Error; In labor force:,Estimate; In labor force: - Civilian labor force:,Margin of Error; In labor force: - Civilian labor force:,Estimate; In labor force: - Civilian labor force: - Employed,Margin of Error; In labor force: - Civilian labor force: - Employed,Estimate; In labor force: - Civilian labor force: - Unemployed,Margin of Error; In labor force: - Civilian labor force: - Unemployed,Estimate; In labor force: - Armed Forces,Margin of Error; In labor force: - Armed Forces,Estimate; Not in labor force,Margin of Error; Not in labor force
1500000US300630011001,300630011001,"Block Group 1, Census Tract 11, Missoula County, Montana",837,164,630,153,601,148,555,130,46,36,29,43,207,80
1500000US300630011002,300630011002,"Block Group 2, Census Tract 11, Missoula County, Montana",1001,184,842,183,842,183,825,185,17,27,0,10,159,66
1500000US300630011003,300630011003,"Block Group 3, Census Tract 11, Missoula County, Montana",1087,310,901,318,901,318,893,318,8,13,0,10,186,68
1500000US300630012001,300630012001,"Block Group 1, Census Tract 12, Missoula County, Montana",523,157,441,139,441,139,405,104,36,54,0,10,82,69
1500000US300630012002,300630012002,"Block Group 2, Census Tract 12, Missoula County, Montana",825,242,609,201,609,201,584,194,25,28,0,10,216,91
1500000US300630012003,300630012003,"Block Group 3, Census Tract 12, Missoula County, Montana",767,197,594,199,594,199,594,199,0,10,0,10,173,97
1500000US300630012004,300630012004,"Block Group 4, Census Tract 12, Missoula County, Montana",2274,433,1745,448,1745,448,1590,382,155,115,0,10,529,184
1500000US300630013021,300630013021,"Block Group 1, Census Tract 13.02, Missoula County, Montana",1830,347,1319,249,1319,249,1244,231,75,62,0,10,511,250
1500000US300630013022,300630013022,"Block Group 2, Census Tract 13.02, Missoula County, Montana",959,195,647,198,647,198,647,198,0,10,0,10,312,109
1500000US300630013023,300630013023,"Block Group 3, Census Tract 13.02, Missoula County, Montana",724,165,521,148,521,148,465,140,56,46,0,10,203,85
1500000US300630013024,300630013024,"Block Group 4, Census Tract 13.02, Missoula County, Montana",823,208,668,206,668,206,646,206,22,37,0,10,155,81
1500000US300630013025,300630013025,"Block Group 5, Census Tract 13.02, Missoula County, Montana",753,236,579,221,579,221,557,214,22,35,0,10,174,85
1500000US300630013031,300630013031,"Block Group 1, Census Tract 13.03, Missoula County, Montana",944,181,630,198,615,195,585,188,30,34,15,23,314,118
1500000US300630013032,300630013032,"Block Group 2, Census Tract 13.03, Missoula County, Montana",1242,213,842,209,842,209,815,209,27,37,0,10,400,151
1500000US300630013033,300630013033,"Block Group 3, Census Tract 13.03, Missoula County, Montana",1048,314,560,192,560,192,541,190,19,31,0,10,488,200
1500000US300630013034,300630013034,"Block Group 4, Census Tract 13.03, Missoula County, Montana",894,238,792,248,792,248,743,247,49,52,0,10,102,60
1500000US300630013041,300630013041,"Block Group 1, Census Tract 13.04, Missoula County, Montana",968,240,703,200,703,200,640,191,63,66,0,10,265,119
1500000US300630013042,300630013042,"Block Group 2, Census Tract 13.04, Missoula County, Montana",1177,281,782,245,782,245,752,238,30,37,0,10,395,142
1500000US300630013043,300630013043,"Block Group 3, Census Tract 13.04, Missoula County, Montana",957,220,538,148,483,138,422,136,61,56,55,75,419,149
1500000US300630013044,300630013044,"Block Group 4, Census Tract 13.04, Missoula County, Montana",2239,267,1703,248,1700,250,1676,243,24,36,3,9,536,154
1500000US300630014001,300630014001,"Block Group 1, Census Tract 14, Missoula County, Montana",1684,280,1149,205,1149,205,1007,208,142,92,0,10,535,154
1500000US300630014002,300630014002,"Block Group 2, Census Tract 14, Missoula County, Montana",1622,214,1190,187,1190,187,1130,193,60,45,0,10,432,88
1500000US300630014003,300630014003,"Block Group 3, Census Tract 14, Missoula County, Montana",1225,186,712,155,712,155,675,148,37,34,0,10,513,120
1500000US300630014004,300630014004,"Block Group 4, Census Tract 14, Missoula County, Montana",583,130,440,132,440,132,405,121,35,39,0,10,143,40
1500000US300630014005,300630014005,"Block Group 5, Census Tract 14, Missoula County, Montana",651,129,440,111,440,111,408,102,32,23,0,10,211,67
1500000US300630015001,300630015001,"Block Group 1, Census Tract 15, Missoula County, Montana",706,145,524,133,524,133,511,131,13,17,0,10,182,77
1500000US300630015002,300630015002,"Block Group 2, Census Tract 15, Missoula County, Montana",1642,284,1114,259,1114,259,1016,256,98,85,0,10,528,188
1500000US300630015003,300630015003,"Block Group 3, Census Tract 15, Missoula County, Montana",1462,296,1122,248,1122,248,1095,245,27,32,0,10,340,148
1500000US300630015004,300630015004,"Block Group 4, Census Tract 15, Missoula County, Montana",1167,291,737,188,737,188,726,187,11,18,0,10,430,203
1500000US300630016001,300630016001,"Block Group 1, Census Tract 16, Missoula County, Montana",1999,377,1521,350,1521,350,1462,346,59,41,0,10,478,168
1500000US300630016002,300630016002,"Block Group 2, Census Tract 16, Missoula County, Montana",1183,412,697,281,697,281,621,281,76,89,0,10,486,229
1500000US300630016003,300630016003,"Block Group 3, Census Tract 16, Missoula County, Montana",1494,304,1154,280,1154,280,1107,276,47,43,0,10,340,133
1500000US300630016004,300630016004,"Block Group 4, Census Tract 16, Missoula County, Montana",943,218,578,208,578,208,571,208,7,14,0,10,365,129
1500000US300630018001,300630018001,"Block Group 1, Census Tract 18, Missoula County, Montana",1169,187,672,125,672,125,599,114,73,50,0,10,497,103
1500000US300630018002,300630018002,"Block Group 2, Census Tract 18, Missoula County, Montana",778,169,336,87,336,87,308,72,28,40,0,10,442,111
1500000US300630018003,300630018003,"Block Group 3, Census Tract 18, Missoula County, Montana",822,178,489,141,489,141,431,144,58,36,0,10,333,102
1500000US300630018004,300630018004,"Block Group 4, Census Tract 18, Missoula County, Montana",861,165,378,117,378,117,364,112,14,21,0,10,483,135
