GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Built 2014 or later,Margin of Error; Total: - Built 2014 or later,Estimate; Total: - Built 2010 to 2013,Margin of Error; Total: - Built 2010 to 2013,Estimate; Total: - Built 2000 to 2009,Margin of Error; Total: - Built 2000 to 2009,Estimate; Total: - Built 1990 to 1999,Margin of Error; Total: - Built 1990 to 1999,Estimate; Total: - Built 1980 to 1989,Margin of Error; Total: - Built 1980 to 1989,Estimate; Total: - Built 1970 to 1979,Margin of Error; Total: - Built 1970 to 1979,Estimate; Total: - Built 1960 to 1969,Margin of Error; Total: - Built 1960 to 1969,Estimate; Total: - Built 1950 to 1959,Margin of Error; Total: - Built 1950 to 1959,Estimate; Total: - Built 1940 to 1949,Margin of Error; Total: - Built 1940 to 1949,Estimate; Total: - Built 1939 or earlier,Margin of Error; Total: - Built 1939 or earlier
1500000US300630009012,300630009012,"Block Group 2, Census Tract 9.01, Missoula County, Montana",529,91,0,10,56,76,109,70,54,42,42,32,97,61,61,51,65,45,0,10,45,70
1500000US300630009013,300630009013,"Block Group 3, Census Tract 9.01, Missoula County, Montana",593,116,0,10,0,10,0,10,14,22,26,33,389,138,72,61,55,44,0,10,37,40
1500000US300630009014,300630009014,"Block Group 4, Census Tract 9.01, Missoula County, Montana",584,131,0,10,0,10,36,61,30,34,132,79,121,60,144,95,93,70,15,24,13,21
1500000US300630009015,300630009015,"Block Group 5, Census Tract 9.01, Missoula County, Montana",353,109,0,10,0,10,82,82,25,29,100,108,26,23,15,23,90,57,0,10,15,23
1500000US300630009021,300630009021,"Block Group 1, Census Tract 9.02, Missoula County, Montana",1062,51,46,67,10,12,162,56,301,60,228,57,191,45,45,22,35,18,13,12,31,23
1500000US300630010001,300630010001,"Block Group 1, Census Tract 10, Missoula County, Montana",816,122,14,24,27,43,42,50,122,101,26,41,153,91,41,47,281,137,30,34,80,64
1500000US300630010002,300630010002,"Block Group 2, Census Tract 10, Missoula County, Montana",574,141,47,76,14,22,112,73,15,24,60,53,129,97,46,54,98,85,0,10,53,54
1500000US300630010003,300630010003,"Block Group 3, Census Tract 10, Missoula County, Montana",647,149,0,10,13,20,121,90,51,50,46,51,106,115,55,37,93,72,84,73,78,71
1500000US300630010004,300630010004,"Block Group 4, Census Tract 10, Missoula County, Montana",513,127,11,19,16,25,56,52,82,61,62,48,131,91,37,38,12,19,61,75,45,40
1500000US300630011001,300630011001,"Block Group 1, Census Tract 11, Missoula County, Montana",484,81,0,10,0,10,9,13,13,21,30,31,33,28,29,28,18,20,44,33,308,99
