"","GEOID2","Display","AvgAge","AvgIncome","AvgEducation","ProportionEmployed"
"1","300630001001","Block Group 1, Census Tract 1, Missoula County, Montana","42.6775823353293","42080.7272495824","5.04765545361876","0.585944494180841"
"2","300630001002","Block Group 2, Census Tract 1, Missoula County, Montana","45.6799046862589","59357.6054103089","4.8052016985138","0.562557924003707"
"3","300630001003","Block Group 3, Census Tract 1, Missoula County, Montana","37.4313559322034","56630.9427021302","4.45419847328244","0.787878787878788"
"4","300630001004","Block Group 4, Census Tract 1, Missoula County, Montana","36.8773399014778","35960.48298573","5.25428082191781","0.646420824295011"
"5","300630002011","Block Group 1, Census Tract 2.01, Missoula County, Montana","36.0790198237885","29533.6535901977","4.42895204262877","0.502289077828646"
"6","300630002012","Block Group 2, Census Tract 2.01, Missoula County, Montana","30.9853764779091","24199.6320147194","4.48145695364238","0.746944644140906"
"7","300630002013","Block Group 3, Census Tract 2.01, Missoula County, Montana","33.976917057903","26813.5608975682","4.51650366748166","0.804114490161002"
"8","300630002014","Block Group 4, Census Tract 2.01, Missoula County, Montana","31.2689614935823","22708.1887578071","4.51742160278746","0.761394101876676"
"9","300630002015","Block Group 5, Census Tract 2.01, Missoula County, Montana","34.563050660793","23703.3898305085","4.49059982094897","0.756594724220623"
"10","300630002021","Block Group 1, Census Tract 2.02, Missoula County, Montana","38.1887943786982","35429.273827534","4.73307964120685","0.67741935483871"
"11","300630002022","Block Group 2, Census Tract 2.02, Missoula County, Montana","40.7820627802691","43845.8006150089","5.59605263157895","0.563975155279503"
"12","300630002023","Block Group 3, Census Tract 2.02, Missoula County, Montana","35.6939529675252","48803.6157245982","4.54467782128871","0.716856628674265"
"13","300630002024","Block Group 4, Census Tract 2.02, Missoula County, Montana","32.7164179104478","51891.05244514","4.50226500566251","0.756906077348066"
"14","300630003001","Block Group 1, Census Tract 3, Missoula County, Montana","32.906043956044","22228.9023004571","5.93431855500821","0.60989010989011"
"15","300630003002","Block Group 2, Census Tract 3, Missoula County, Montana","44.1957801766438","21139.2024605579","4.31371191135734","0.532719836400818"
"16","300630004001","Block Group 1, Census Tract 4, Missoula County, Montana","36.3134796238244","25981.5354713314","4.69416243654822","0.677835051546392"
"17","300630004002","Block Group 2, Census Tract 4, Missoula County, Montana","38.8705408515535","32572.4534692139","4.85871271585557","0.627142857142857"
"18","300630004003","Block Group 3, Census Tract 4, Missoula County, Montana","44.8917456021651","65681.5668057877","5.08145580589255","0.467791411042945"
"19","300630005001","Block Group 1, Census Tract 5, Missoula County, Montana","34.5668670172802","31210.2974470224","4.20698051948052","0.628850488354621"
"20","300630005002","Block Group 2, Census Tract 5, Missoula County, Montana","25.2409398645958","31234.086159934","3.99465811965812","0.355546357615894"
"21","300630005003","Block Group 3, Census Tract 5, Missoula County, Montana","35.393896713615","42461.6652963139","5.23790322580645","0.690420560747664"
"22","300630005004","Block Group 4, Census Tract 5, Missoula County, Montana","31.506230529595","27837.1653824148","4.05394190871369","0.692751763951251"
"23","300630007001","Block Group 1, Census Tract 7, Missoula County, Montana","37.2417503586801","33647.6336141251","4.29431072210066","0.566129032258065"
"24","300630007002","Block Group 2, Census Tract 7, Missoula County, Montana","36.9467418546366","42277.583162679","4.97854785478548","0.722222222222222"
"25","300630007003","Block Group 3, Census Tract 7, Missoula County, Montana","33.5755555555556","39048.1857499747","5.18958031837916","0.77114967462039"
"26","300630008001","Block Group 1, Census Tract 8, Missoula County, Montana","34.938988959907","24145.1149425287","4.45092838196287","0.644295302013423"
"27","300630008002","Block Group 2, Census Tract 8, Missoula County, Montana","38.2928153717627","35727.6466281231","4.94266813671444","0.742594484167518"
"28","300630008003","Block Group 3, Census Tract 8, Missoula County, Montana","38.6296875","22634.8228043143","4.91112956810631","0.538179148311307"
"29","300630008004","Block Group 4, Census Tract 8, Missoula County, Montana","35.889898989899","23525.8548790659","4.8955223880597","0.722967640094712"
"30","300630009011","Block Group 1, Census Tract 9.01, Missoula County, Montana","35.4951370468612","31951.9343493552","4.96423248882265","0.837140019860973"
"31","300630009012","Block Group 2, Census Tract 9.01, Missoula County, Montana","46.9926315789474","45642.7151771913","5.00308641975309","0.580803937653815"
"32","300630009013","Block Group 3, Census Tract 9.01, Missoula County, Montana","36.6936881188119","34621.530059493","4.83960396039604","0.525764192139738"
"33","300630009014","Block Group 4, Census Tract 9.01, Missoula County, Montana","50.5843605546995","28688.679245283","4.7627358490566","0.408884859474161"
"34","300630009015","Block Group 5, Census Tract 9.01, Missoula County, Montana","38.6525323910483","29139.5738398713","4.69075630252101","0.617021276595745"
"35","300630009021","Block Group 1, Census Tract 9.02, Missoula County, Montana","41.8166324435318","51656.9760724315","4.79503625209147","0.563983488132095"
"36","300630010001","Block Group 1, Census Tract 10, Missoula County, Montana","38.8400259067358","24542.3387096774","4.0390365448505","0.50709219858156"
"37","300630010002","Block Group 2, Census Tract 10, Missoula County, Montana","33.4280991735537","26748.3836206897","5.28376623376623","0.743174924165824"
"38","300630010003","Block Group 3, Census Tract 10, Missoula County, Montana","30.249826026444","23617.903930131","5.21699196326062","0.770799347471452"
"39","300630010004","Block Group 4, Census Tract 10, Missoula County, Montana","47.5240029542097","14560.6796116505","3.61151832460733","0.394173093401885"
"40","300630011001","Block Group 1, Census Tract 11, Missoula County, Montana","38.9406512605042","33713.2352941177","5.28052550231839","0.697729988052569"
"41","300630011002","Block Group 2, Census Tract 11, Missoula County, Montana","35.7802964254577","26921.0799584631","4.83532536520584","0.824175824175824"
