"","GEOID2","Display","TotalPopulation","AvgAge","numKids","numElderly","NonIncomePopulation","PercentKids","PercentElderly","AvgIncome","AvgEducation","Unemployed","Employed"
"2","300630001001","Block Group 1, Census Tract 1, Missoula County, Montana",2672,42.6775823353293,292,652,586,10.9281437125749,24.4011976047904,42080.7272495824,5.04765545361876,925,1309
"3","300630001002","Block Group 2, Census Tract 1, Missoula County, Montana",1259,45.6799046862589,106,389,233,8.41938046068308,30.8975377283558,59357.6054103089,4.8052016985138,472,607
"4","300630001003","Block Group 3, Census Tract 1, Missoula County, Montana",1180,37.4313559322034,185,76,318,15.6779661016949,6.44067796610169,56630.9427021302,4.45419847328244,189,702
"5","300630001004","Block Group 4, Census Tract 1, Missoula County, Montana",1015,36.8773399014778,32,112,104,3.15270935960591,11.0344827586207,35960.48298573,5.25428082191781,326,596
"6","300630002011","Block Group 1, Census Tract 2.01, Missoula County, Montana",1816,36.0790198237885,241,212,458,13.2709251101322,11.6740088105727,29533.6535901977,4.42895204262877,761,768
"7","300630002012","Block Group 2, Census Tract 2.01, Missoula County, Montana",1607,30.9853764779091,209,106,520,13.005600497822,6.59614187927816,24199.6320147194,4.48145695364238,352,1039
"8","300630002013","Block Group 3, Census Tract 2.01, Missoula County, Montana",1278,33.976917057903,120,29,160,9.38967136150235,2.26917057902973,26813.5608975682,4.51650366748166,219,899
"9","300630002014","Block Group 4, Census Tract 2.01, Missoula County, Montana",1714,31.2689614935823,213,95,273,12.4270711785298,5.54259043173862,22708.1887578071,4.51742160278746,356,1136
"10","300630002015","Block Group 5, Census Tract 2.01, Missoula County, Montana",1816,34.563050660793,119,158,341,6.55286343612335,8.70044052863436,23703.3898305085,4.49059982094897,406,1262
"11","300630002021","Block Group 1, Census Tract 2.02, Missoula County, Montana",5408,38.1887943786982,716,850,1442,13.2396449704142,15.7174556213018,35429.273827534,4.73307964120685,1360,2856
"12","300630002022","Block Group 2, Census Tract 2.02, Missoula County, Montana",1115,40.7820627802691,233,243,315,20.8968609865471,21.7937219730942,43845.8006150089,5.59605263157895,351,454
"13","300630002023","Block Group 3, Census Tract 2.02, Missoula County, Montana",4465,35.6939529675252,603,490,1379,13.505039193729,10.9742441209406,48803.6157245982,4.54467782128871,944,2390
"14","300630002024","Block Group 4, Census Tract 2.02, Missoula County, Montana",1407,32.7164179104478,402,180,524,28.5714285714286,12.7931769722815,51891.05244514,4.50226500566251,220,685
"15","300630003001","Block Group 1, Census Tract 3, Missoula County, Montana",910,32.906043956044,0,43,84,0,4.72527472527473,22228.9023004571,5.93431855500821,355,555
"16","300630003002","Block Group 2, Census Tract 3, Missoula County, Montana",1019,44.1957801766438,0,208,135,0,20.4121687929342,21139.2024605579,4.31371191135734,457,521
"17","300630004001","Block Group 1, Census Tract 4, Missoula County, Montana",1276,36.3134796238244,67,111,247,5.25078369905956,8.69905956112853,25981.5354713314,4.69416243654822,375,789
"18","300630004002","Block Group 2, Census Tract 4, Missoula County, Montana",869,38.8705408515535,72,147,206,8.28538550057537,16.9159953970081,32572.4534692139,4.85871271585557,261,439
"19","300630004003","Block Group 3, Census Tract 4, Missoula County, Montana",739,44.8917456021651,62,189,130,8.38971583220568,25.575101488498,65681.5668057877,5.08145580589255,347,305
"20","300630005001","Block Group 1, Census Tract 5, Missoula County, Montana",1331,34.5668670172802,0,157,179,0,11.7956423741548,31210.2974470224,4.20698051948052,494,837
"21","300630005002","Block Group 2, Census Tract 5, Missoula County, Montana",2511,25.2409398645958,95,193,1765,3.78335324571884,7.68618080446037,31234.086159934,3.99465811965812,1557,859
"22","300630005003","Block Group 3, Census Tract 5, Missoula County, Montana",1065,35.393896713615,150,137,232,14.0845070422535,12.8638497652582,42461.6652963139,5.23790322580645,265,591
"23","300630005004","Block Group 4, Census Tract 5, Missoula County, Montana",1926,31.506230529595,176,170,557,9.13811007268951,8.82658359293873,27837.1653824148,4.05394190871369,479,1080
"24","300630007001","Block Group 1, Census Tract 7, Missoula County, Montana",697,37.2417503586801,27,61,192,3.87374461979914,8.75179340028694,33647.6336141251,4.29431072210066,269,351
"25","300630007002","Block Group 2, Census Tract 7, Missoula County, Montana",798,36.9467418546366,27,69,118,3.38345864661654,8.64661654135338,42277.583162679,4.97854785478548,195,507
"26","300630007003","Block Group 3, Census Tract 7, Missoula County, Montana",1125,33.5755555555556,59,79,387,5.24444444444444,7.02222222222222,39048.1857499747,5.18958031837916,211,711
"27","300630008001","Block Group 1, Census Tract 8, Missoula County, Montana",1721,34.938988959907,197,147,329,11.4468332364904,8.54154561301569,24145.1149425287,4.45092838196287,530,960
"28","300630008002","Block Group 2, Census Tract 8, Missoula County, Montana",1197,38.2928153717627,118,88,248,9.85797827903091,7.35171261487051,35727.6466281231,4.94266813671444,252,727
"29","300630008003","Block Group 3, Census Tract 8, Missoula County, Montana",1600,38.6296875,163,244,302,10.1875,15.25,22634.8228043143,4.91112956810631,629,733
